Scale.name,variable.name,reversecoded,Importance.rank,Effect.direction,Effect.surprising,Items,n,mean,sd,min,max,skew,skew_2se,kurt,kurt_2se,Reliability,Interpret,min_load,max_load,PC1,Reference,Measure,Scale,construct,description,description.en,sample.item,sample.item.en,items.regex,subscale,comments,item.names
Self-Concept Clarity,selfconc,,11,Negative,,12,485,3.13,0.7,1.09,5.17,-0.04,-0.17,-0.37,-0.83,0.86,Good,0.31,0.79,0.42,"Campbell, J. D., Trapnell, P. D., Heine, S. J., Katz, I. M., Lavallee, L. F., & Lehman, D. R. (1996). Self-concept clarity: Measurement, personality correlates, and cultural boundaries. Journal of Personality and Social Psychology, 70, 141–156.",Self-Concept Clarity Scale,Self-Concept Clarity Scale,Self-Concept Clarity Scale,"De mate waarin het zelfbeeld van een individu helder en vol zelfvertrouwen gedefinieerd, intern consistent, en stabiel over tijd is.","The extent to which an individual's self-image is clearly and confidently defined, internally consistent, and stable over time.",Ik vraag me vaak af wat voor persoon ik nu eigenlijk ben. ,I often wonder what kind of person I really am. ,sc11aa(0[0-9]|1[0-2])$,^sc11aasel$,,sc11aa01 sc11aa02 sc11aa03 sc11aa04 sc11aa05 rsc11aa06 sc11aa07 sc11aa08 sc11aa09 sc11aa10 rsc11aa11 sc11aa12
Conflict resolution (f),CRSI_ps_av,,12,Negative,,5,464,2.97,0.86,1,5,-0.2,-0.87,-0.27,-0.59,0.81,Good,0.34,0.88,0.58,"Kurdek, L.A. (1994). Conflict resolution styles in gay, lesbian, heterosexual nonparent, and heterosexual parent couples. Journal of Marriage and the Family, 56, 705-722.",Conflict Resolution Style Inventory,Problem solving,Conflict Resolution Style Inventory - Problem solving,Conflict resolution styles in parent & nonparent couples,Conflict resolution styles of elderly and non-elderly couples,Bij elkaar gaan zitten en onze verschillen van mening goed bespreken ,Sit down and discuss our differences properly ,cr11av(02|06|10|14|18)$,^cr11avps$,,cr11av02 cr11av06 cr11av10 cr11av14 cr11av18
Conflict engagement (m),CRSI_en_am,,13,Positive,,5,493,1.61,0.65,1,4.25,1.28,5.81,1.4,3.19,0.8,Acceptable,0.47,0.8,0.58,"Kurdek, L.A. (1994). Conflict resolution styles in gay, lesbian, heterosexual nonparent, and heterosexual parent couples. Journal of Marriage and the Family, 56, 705-722.",Conflict Resolution Style Inventory,Engagement,Conflict Resolution Style Inventory - Engagement,Conflict resolution styles in parent & nonparent couples,Styles of conflict resolution at parent & non-parent pairs,Woest worden en mijn beheersing verliezen ,Getting furious and losing control ,cr11am(01|05|09|13|17)$,^cr11amce$,,cr11am01 cr11am05 cr11am09 cr11am13 cr11am17
Conflict frequency (mf),conflictfrequency,,14,Positive,,20,495,2.23,0.65,1,4.15,0.14,0.62,-0.71,-1.61,0.9,Excellent,0.4,0.66,0.37,"Laursen, B. (1993). The perceived impact of conflict on adolescent relationships. Merrill Palmer Quarterly, 39, 535-550.",Interpersonal Conflict Questionnaire,Interpersonal Conflict Questionnaire,Interpersonal Conflict Questionnaire,conflict frequency and affect,conflict frequency and affect,How did the conflict(s) influence your relationship with your ... ,How did the conflict(s) influence your relationship with your ... ,ic11a(m|v)(0[1-9]|1[0-3])$,^ic11a(m|v)tot$,"items 11,12,13 do NOT belong to total scale (additional questions on how one felt/was affected by conflict",ic11am01 ic11am02 ic11am03 ic11am04 ic11am05 ic11am06 ic11am07 ic11am08 ic11am09 ic11am10 ic11av01 ic11av02 ic11av03 ic11av04 ic11av05 ic11av06 ic11av07 ic11av08 ic11av09 ic11av10
Anxiety,anxiety,TRUE,15,Positive,TRUE,38,491,1.37,0.29,1,2.72,1.22,5.55,1.81,4.11,0.91,Excellent,0.19,0.68,0.26,"Birmaher, B., Ketharpal, S., Brent, D., Cully, M., Balach, S., Kaufman, J. et al. (1997). The Screen for Child Anxiety Related Emotional Disorders (SCARED): Scale construction and psychometric characteristics. Journal of the American Academy of Child And Adolescent Psychiatry, 36, 545-553.",Screen for Child Anxiety Related Emotional Disorders,Total Anxiety,Screen for Child Anxiety Related Emotional Disorders - Total Anxiety,"Scale for identification of panic attacks, social phobia, separation anxiety, generalized anxiety, school phobia","Scale for identification of panic attacks, social phobia, separation anxiety, generalized anxiety, school phobia",Ik ben bang om een angstaanval te krijgen,I am afraid of having an anxiety attack,an11aa([0-2][0-9]|3[0-8])$,^an11aatot$,"Subschalen beschikbaar: somatic/panic[1,6,9,12,15,18,19,22,24,27,30,34,38]; school phobia[2,11,17,36]; soc. Anx[3,5,10,26,32]; gen. anx[7,14,23,28,33,35,37]; sep. anx[4,8,13,16,20,25,29,31]",an11aa01 an11aa02 an11aa03 an11aa04 an11aa05 an11aa06 an11aa07 an11aa08 an11aa09 an11aa10 an11aa11 an11aa12 an11aa13 an11aa14 an11aa15 an11aa16 an11aa17 an11aa18 an11aa19 an11aa20 an11aa21 an11aa22 an11aa23 an11aa24 an11aa25 an11aa26 an11aa27 an11aa28 an11aa29 an11aa30 an11aa31 an11aa32 an11aa33 an11aa34 an11aa35 an11aa36 an11aa37 an11aa38
Control friendships (mf),peermanag,,16,Positive,,12,271,1.83,0.58,1,3.42,0.21,0.69,-0.92,-1.56,0.92,Excellent,0.61,0.75,0.49,"Mounts, N. S. (2002). Parental management of adolescent peer relations in context: The role of parenting style. Journal of Family Psychology, 16, 58-69. ",Parental Management of Peers Inventory,Parental Management of Peers Inventory,Parental Management of Peers Inventory,Prohibiting & Monitoring of friendship choice,Prohibition and control of friendship choice,Mijn moeder verbiedt me wel eens om te gaan met bepaalde personen ,My mother sometimes forbids me to hang out with certain people ,pm11a(m|v)0[1-6]$,^pm11a(m|v)pro$,Moeder en vader samengevoegd!,pm11am01 pm11am02 pm11am03 pm11am04 pm11am05 pm11am06 pm11av01 pm11av02 pm11av03 pm11av04 pm11av05 pm11av06
Depression,depression,,17,Positive,,30,491,2.66,0.4,1.9,4.4,1.03,4.68,0.85,1.93,0.9,Excellent,0,0.79,0.31,"Reynolds, W.M. (2000). Reynolds Adolescent Depression Scale – 2nd edition (RADS-2). Professional Manual. Lutz, FL: Psychological Assessment Resources.",Reynolds Adolescent Depression Scale,2nd ed. - total depression,Reynolds Adolescent Depression Scale - 2nd ed. - total depression,Depression scale for adolescents - self-report,Adolescent Depression Scale - self-reporting,Ik heb het gevoel dat ik niet deug,I have the feeling that I am not good,ra11aa([0-2][0-9]|30)$,^ra11aatot$,"Subschalen beschikbaar: dysphoric mood [2,3,6,7,8,16,21,26]; anhedonia[1,5,10,12,23,25,29]; neg self-eval[4,9,13,14,15,19,20,30]; somat. Complaints[11,17,18,22,24,27,28]",rra11aa01 ra11aa02 ra11aa03 ra11aa04 rra11aa05 ra11aa06 ra11aa07 ra11aa08 ra11aa09 rra11aa10 ra11aa11 rra11aa12 ra11aa13 ra11aa14 ra11aa15 ra11aa16 ra11aa17 ra11aa18 ra11aa19 ra11aa20 ra11aa21 ra11aa22 rra11aa23 ra11aa24 rra11aa25 ra11aa26 ra11aa27 ra11aa28 rra11aa29 ra11aa30
Conflict withdrawal (b),CRSI_wi_ab,,18,Positive,,5,464,1.68,0.65,1,4,0.76,3.35,-0.21,-0.47,0.77,Acceptable,0.49,0.8,0.52,"Kurdek, L.A. (1994). Conflict resolution styles in gay, lesbian, heterosexual nonparent, and heterosexual parent couples. Journal of Marriage and the Family, 56, 705-722.",Conflict Resolution Style Inventory,Withdrawal,Conflict Resolution Style Inventory - Withdrawal,Conflict resolution styles in parent & nonparent couples,Conflict resolution styles of elderly and non-elderly couples,"Stoppen, er niet meer op in gaan en weigeren om nog verder te praten ","Quit, get out of the way and refuse to talk any further ",cr11ab(03|07|11|15|19)$,^cr11abwi$,,cr11ab03 cr11ab07 cr11ab11 cr11ab15 cr11ab19
Conflict withdrawal (m),CRSI_wi_am,TRUE,19,Positive,TRUE,5,493,2.17,0.76,1,4.67,0.47,2.15,-0.02,-0.03,0.8,Good,0.51,0.83,0.53,"Kurdek, L.A. (1994). Conflict resolution styles in gay, lesbian, heterosexual nonparent, and heterosexual parent couples. Journal of Marriage and the Family, 56, 705-722.",Conflict Resolution Style Inventory,Withdrawal,Conflict Resolution Style Inventory - Withdrawal,Conflict resolution styles in parent & nonparent couples,Conflict resolution styles in parenting couples and non-parenting couples,"Stoppen, er niet meer op in gaan en weigeren om nog verder te praten ","Stop, stop going into it and refuse to discuss it any further ",cr11am(03|07|11|15|19)$,^cr11amwi$,,cr11am03 cr11am07 cr11am11 cr11am15 cr11am19
Conflict engagement (f),CRSI_en_av,,20,Positive,,5,464,1.69,0.66,1,5,1.25,5.51,1.94,4.29,0.79,Acceptable,0.52,0.79,0.59,"Kurdek, L.A. (1994). Conflict resolution styles in gay, lesbian, heterosexual nonparent, and heterosexual parent couples. Journal of Marriage and the Family, 56, 705-722.",Conflict Resolution Style Inventory,Engagement,Conflict Resolution Style Inventory - Engagement,Conflict resolution styles in parent & nonparent couples,Styles of conflict resolution in parent and non-parent couples,Woest worden en mijn beheersing verliezen ,Getting angry and losing control ,cr11av(01|05|09|13|17)$,^cr11avce$,"conflict resolutie van moeder/vader met kind leek me minder interessant, hoewel het wel nog belang kan hebben",cr11av01 cr11av05 cr11av09 cr11av13 cr11av17
Parenting stress,dailyhassles,,21,Positive,,48,495,0.57,0.32,0,2.08,0.85,3.88,1.05,2.4,0.89,Good,0.24,0.53,0.18,"Vollrath, M. (2000). Personality and hassles among university students: A three-year longitudinal study. European Journal of Personality, 14(3), 199–215. http://doi.org/10.1002/1099-0984(200005/06)14:33.0.CO;2-B",Daily Hassles,Daily Hassles,Daily Hassles,tolerantie van moeder & vader om met dagelijke problemen om te gaan,Tolerance of mother & father to deal with daily problems,Moeten voldoen aan sociale verplichtingen ,Having to meet social obligations ,dh11vv\\d{2}$,^dv11vvtot$,Samenvoegen?,dh11vv01 dh11vv02 dh11vv03 dh11vv04 dh11vv05 dh11vv06 dh11vv07 dh11vv08 dh11vv09 dh11vv10 dh11vv11 dh11vv12 dh11vv13 dh11vv14 dh11vv15 dh11vv16 dh11vv17 dh11vv18 dh11vv19 dh11vv20 dh11vv21 dh11vv22 dh11vv23 dh11vv24 dh11mm01 dh11mm02 dh11mm03 dh11mm04 dh11mm05 dh11mm06 dh11mm07 dh11mm08 dh11mm09 dh11mm10 dh11mm11 dh11mm12 dh11mm13 dh11mm14 dh11mm15 dh11mm16 dh11mm17 dh11mm18 dh11mm19 dh11mm20 dh11mm21 dh11mm22 dh11mm23 dh11mm24
Age  (f),,,22,No marginal effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conflict resolution (m),CRSI_ps_am,TRUE,23,Negative,TRUE,5,493,3.08,0.83,1,5,-0.13,-0.57,-0.19,-0.44,0.85,Good,0.46,0.93,0.62,"Kurdek, L.A. (1994). Conflict resolution styles in gay, lesbian, heterosexual nonparent, and heterosexual parent couples. Journal of Marriage and the Family, 56, 705-722.",Conflict Resolution Style Inventory,Problem solving,Conflict Resolution Style Inventory - Problem solving,Conflict resolution styles in parent & nonparent couples,Conflict resolution styles in parent and non-parent pairs,Bij elkaar gaan zitten en onze verschillen van mening goed bespreken ,Sit down together and discuss our differences ,cr11am(02|06|10|14|18)$,^cr11amps$,,cr11am02 cr11am06 cr11am10 cr11am14 cr11am18
Fantasy (IRI),IRI_fan_aa,TRUE,24,Positive,,7,269,2.19,0.72,0,4,-0.04,-0.13,0.14,0.24,0.75,Acceptable,0.29,0.72,0.33,"Davis, M. H. (1983). Measuring individual differences in empathy: Evidence for a multidimensional approach. Journal of Personality and Social Psychology, 44(1), 113–126. https://doi.org/10.1037/0022-3514.44.1.115",Interpersonal Reactivity Index,Fantasie,Interpersonal Reactivity Index - Fantasie,Empathie/Emotionele en cognitieve facetten van empathie,Empathy/Emotional and cognitive facets of empathy,"1 Ik dagdroom en fantaseer, met enige regelmaat, over dingen die me zouden kunnen overkomen","I daydream and fantasize, with some regularity, about things that could happen to me",ir11aa(01|05|07|12|16|23|26)$,^ir11aafan$,,ir11aa01 ir11aa05 rir11aa07 rir11aa12 ir11aa16 ir11aa23 ir11aa26
Parenting intrusive,intrusiveness,,25,Positive,,7,475,3.96,0.47,2.43,5.14,-0.24,-1.08,0.06,0.13,0.64,Questionable,0,0.77,0.36,"Cole, J. D. & Kazarian, S. S. (1988) The Level of Expressed Emotion Scale: A new measure of expressed emotion. Journal of Clinical Psychology, 44, 392-397.",Level of Expressed Emotion,Perceived Intrusiveness,Level of Expressed Emotion - Perceived Intrusiveness,Measures of expressed emotion as perceived by adolescent from parents towards him/her/they,Measures of expressed emotion as perceived by adolescent from parents toward him/her/they,Mengen zich ongevraagd in mijn privé-zaken. ,Interferes in my private affairs uninvited. ,le11ao(05|11|14|16|20|22|26)$,^le11aoop$,Moeder over Adolescent bestaat ook -> hoe moeder zichzelf inschat,le11ao05 le11ao11 le11ao14 le11ao16 le11ao20 le11ao22 rle11ao26
Age,,,26,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psychological control,conpsy,,27,Positive,,16,495,1.83,0.59,1,4.31,0.71,3.25,0.12,0.28,0.86,Good,0.39,0.67,0.33,"Barber, K.K. (2002). Intrusive parenting. How psychological control affects children and adolescents. APA, Washington, DC.",Psychological Control Scale,Psychological Control Scale,Psychological Control Scale,Parental psychological control; Intrusive Parenting,Psychological control of parents; intrusive parenting,zou graag willen dat hij/zij altijd kan zeggen hoe ik me moet voelen of wat ik moet denken,would like to be able to always tell me how to feel or what to think,pc11a(m|v)0[1-8]$,^pc11amtot$,Moeder en vader samengevoegd!,pc11am01 pc11am02 pc11am03 pc11am04 pc11am05 pc11am06 pc11am07 pc11am08 pc11av01 pc11av02 pc11av03 pc11av04 pc11av05 pc11av06 pc11av07 pc11av08
Conflict emotions (mf),conflictemo,TRUE,28,Positive,TRUE,6,494,2.74,0.72,1,5,-0.11,-0.51,-0.09,-0.22,0.77,Acceptable,0.54,0.69,0.48,"Laursen, B. (1993). The perceived impact of conflict on adolescent relationships. Merrill Palmer Quarterly, 39, 535-550.",Interpersonal Conflict Questionnaire,Interpersonal Conflict Questionnaire,Interpersonal Conflict Questionnaire,conflict frequency and affect,conflict frequency and affect,How did the conflict(s) influence your relationship with your ... ,How did the conflict(s) influence your relationship with your ... ,ic11a(m|v)(0[1-9]|1[0-3])$,^ic11a(m|v)tot$,"items 11,12,13 do NOT belong to total scale (additional questions on how one felt/was affected by conflict",ic11am11 ic11am12 ic11am13 ic11av11 ic11av12 ic11av13
Daily guilt,DMD_guilt,,29,Positive,,2,486,1.72,1.36,1,9,2.41,10.87,6.21,14.04,0.79(sb),Acceptable,0.81,0.81,0.84,"Hoeksma, J. B., Sep, S., Vester, F. C., Groot, P. F. C., Sijmons, R., & de Vries, J. (2000). The electronic mood device: Design, construction and application. Behavior Research Methods, Instruments, and Computers, 32, 322– 326. doi:10.3758/BF03207805",Daily Mood Device,Schuldgevoelens,Daily Mood Device - Schuldgevoelens,Veranderlijkheid van Emoties en Gevoelens,Changeability of Emotions and Feelings,schuldig,guilty,dm11aa1[3-4]$,^dm11aasch$,,dm11aa13 dm11aa14
Externalizing_psy,externalizing_psych,,30,Positive,,30,492,0.35,0.24,0,1.17,0.84,3.83,0.33,0.76,0.88,Good,0.22,0.62,0.26,"Verhulst, F.C., van der Ende, J., & Koot, H.M. (1997). Handleiding voor de Youth Self-Report (YSR) [Manual for the Youth Self-Report]. Rotterdam, The Netherlands: Afdeling Kinder- en jeugdpsychiatrie, Sophia Kinderziekenhuis/Academisch Ziekenhuis Rotterdam/Erasmus Universiteit Rotterdam. ",Youth Self Report,Externalizing Behaviour,Youth Self Report - Externalizing Behaviour,Externaliserende psychopathologie,Youth Self Report externalizing,Mijn stemming of gevoelens veranderen plotseling,My mood or feelings change suddenly,ys11aa([0-2][0-9]|30)$,^ys11aaext$,"Subschalen beschikbaar: aggressive behavour[1,2,3,4,5,6,7,9,10,13,16,18,21,22,24,25,26,27,29]; delinquent behaviour[8,11,12,14,15,17,19,20,23,28,30]",ys11aa01 ys11aa02 ys11aa03 ys11aa04 ys11aa05 ys11aa06 ys11aa07 ys11aa08 ys11aa09 ys11aa10 ys11aa11 ys11aa12 ys11aa13 ys11aa14 ys11aa15 ys11aa16 ys11aa17 ys11aa18 ys11aa19 ys11aa20 ys11aa21 ys11aa22 ys11aa23 ys11aa24 ys11aa25 ys11aa26 ys11aa27 ys11aa28 ys11aa29 ys11aa30
Sex,,,31,Girls more difficulties,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tolerance (mf),tolerance,,32,Negative,,19,475,3.39,0.39,1.68,4,-0.8,-3.56,0.74,1.66,0.84,Good,0.12,0.68,0.27,"Cole, J. D. & Kazarian, S. S. (1988) The Level of Expressed Emotion Scale: A new measure of expressed emotion. Journal of Clinical Psychology, 44, 392-397.",Level of Expressed Emotion,Perceived Lack of Emotional Support,Level of Expressed Emotion - Perceived Lack of Emotional Support,Measures of expressed emotion as perceived by adolescent from parents towards him/her/they,Measures of expressed emotion as perceived by adolescent from parents towards him/her/they,"Zijn verdraagzaam ten opzichte van mij, zelfs als ik niet aan hun verwachtingen voldoe","Are tolerant of me, even if I don't meet their expectations",le11ao(01|02|03|04|07|08|09|10|13|15|17|18|19|21|24|25|28|32|33)$,^le11aoge$,,rle11ao01 rle11ao02 rle11ao03 rle11ao04 le11ao07 rle11ao08 le11ao09 rle11ao10 rle11ao13 rle11ao15 rle11ao17 le11ao18 rle11ao19 rle11ao21 rle11ao24 rle11ao25 le11ao28 rle11ao32 le11ao33
Supportive criticism (mf),supportivecriticism,TRUE,33,Positive,,8,475,1.78,0.51,1,4,0.42,1.87,0.3,0.68,0.81,Good,0.34,0.71,0.44,"Cole, J. D. & Kazarian, S. S. (1988) The Level of Expressed Emotion Scale: A new measure of expressed emotion. Journal of Clinical Psychology, 44, 392-397.",Level of Expressed Emotion,Perceived Supportive Criticism,Level of Expressed Emotion - Perceived Supportive Criticism,Measures of expressed emotion as perceived by adolescent from parents towards him/her/they,Measurements of expressed emotion as perceived by the adolescent from parents towards him/her/their,Geven kritiek zonder mij af te kraken.,Give criticism without tearing me down.,le11ao(39|4[0-6])$,^le11aook$,,le11ao39 le11ao40 le11ao41 le11ao42 le11ao43 le11ao44 le11ao45 le11ao46
Conflict frequency (f),negativeaffect_father,,34,Positive,,6,465,1.51,0.56,1,5,1.78,7.87,4.94,10.93,0.89,Good,0.67,0.82,0.64,"Furman, W., & Buhrmester, D. (1985). Children’s perceptions of the personal relationships in their social networks. Developmental Psychology, 21(6), 1016.",Network of Relationships Inventory,Negative Interaction,Network of Relationships Inventory - Negative Interaction,Children’s perceptions of the personal relationship in their social networks.,Children's perceptions of personal relationship in their social networks.,Hoe vaak ben je het oneens met je vader en zitten jullie ruzie te maken?,How often do you disagree with your father and sit around arguing?,nr11av(01|02|06|08|12|13)$,^nr11avneg$,,nr11av01 nr11av02 nr11av06 nr11av08 nr11av12 nr11av13
